G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,power_norm
0.46375,0.448,0.161,0.66,-0.76098,0.5485
0.45615,0.448,0.193,0.67,-0.76097,0.5395
0.4478,0.452,0.161,0.68,-0.76096,0.528
0.43755,0.456,0.113,0.68,-0.76095,0.515
0.42755,0.454,0.177,0.67,-0.76094,0.509
0.4171,0.444,0.193,0.69,-0.76093,0.4975
0.4063,0.444,0.161,0.7,-0.76092,0.4875
0.40075,0.442,0.161,0.7,-0.76091,0.477
0.38745,0.438,0.209,0.7,-0.7609,0.4625
0.3795,0.438,0.145,0.72,-0.76088,0.4435
0.36825,0.436,0.225,0.72,-0.76087,0.4305
0.3572,0.442,0.177,0.73,-0.76086,0.4165
0.34595,0.44,0.145,0.72,-0.76085,0.401
0.33635,0.438,0.177,0.73,-0.76084,0.388
0.3245,0.444,0.177,0.72,-0.76083,0.3735
0.3167,0.444,0.145,0.72,-0.76082,0.3565
0.30365,0.442,0.193,0.71,-0.76081,0.3435
0.2928,0.442,0.193,0.71,-0.7608,0.3265
0.28115,0.44,0.145,0.72,-0.76078,0.311
0.2705,0.448,0.145,0.72,-0.76077,0.294
0.2566,0.448,0.145,0.71,-0.76076,0.2795
0.248,0.45,0.161,0.72,-0.76075,0.264
0.2372,0.452,0.193,0.72,-0.76074,0.2455
0.2251,0.448,0.129,0.72,-0.76073,0.231
0.2147,0.448,0.161,0.72,-0.76072,0.2145
0.20465,0.444,0.161,0.74,-0.76071,0.1965
0.19095,0.444,0.113,0.73,-0.7607,0.1795
0.17995,0.438,0.177,0.73,-0.76068,0.164
0.17055,0.432,0.177,0.75,-0.76067,0.148
0.15805,0.428,0.145,0.75,-0.76066,0.1325
0.14885,0.432,0.177,0.75,-0.76065,0.1185
0.1376,0.434,0.161,0.76,-0.76064,0.1025
0.13085,0.438,0.177,0.75,-0.76063,0.0905
0.15725,0.334,0.048,0.9,-0.75882,0.1815
0.1683,0.334,0.064,0.9,-0.75881,0.196
0.1775,0.334,0.032,0.91,-0.7588,0.212
0.1867,0.336,0.048,0.91,-0.75879,0.229
0.19835,0.336,0.048,0.91,-0.75878,0.2455
0.20775,0.338,0.048,0.91,-0.75876,0.26
0.22165,0.342,0.048,0.91,-0.75875,0.2765
0.23065,0.344,0.048,0.91,-0.75874,0.2945
0.2415,0.346,0.064,0.9,-0.75873,0.3115
0.2523,0.352,0.08,0.9,-0.75872,0.3325
0.26355,0.354,0.097,0.9,-0.75871,0.357
0.28055,0.356,0.064,0.9,-0.75869,0.4225
0.30485,0.358,0.129,0.89,-0.75868,0.436
0.3515,0.362,0.097,0.89,-0.75867,0.4495
