G_POA_norm,air_temp_norm,wind_s_norm,humidity_norm,declination_norm,datenum,power_norm
0.2222500000,0.3700000000,0.0320000000,0.8700000000,-0.7648097455,737792.4166666666,0.7695000000
0.2592500000,0.3720000000,0.0160000000,0.8700000000,-0.7647997603,737792.4201388889,0.7510000000
0.6132000000,0.3740000000,0.0800000000,0.8700000000,-0.7647897721,737792.4236111111,0.4460000000
0.2286000000,0.3740000000,0.0640000000,0.8600000000,-0.7647797808,737792.4270833334,0.6065000000
0.3318500000,0.3740000000,0.1130000000,0.8600000000,-0.7647697865,737792.4305555555,0.8070000000
0.6306000000,0.3740000000,0.0480000000,0.8600000000,-0.7647597891,737792.4340277778,0.7470000000
0.6692000000,0.3760000000,0.0320000000,0.8700000000,-0.7647497887,737792.4375000000,0.7825000000
0.2570000000,0.3780000000,0.0640000000,0.8500000000,-0.7647397852,737792.4409722223,0.7245000000
0.2554000000,0.3780000000,0.1130000000,0.8500000000,-0.7647297786,737792.4444444445,0.8725000000
0.6490000000,0.3760000000,0.1130000000,0.8500000000,-0.7647197690,737792.4479166666,0.8265000000
0.6774000000,0.3780000000,0.0640000000,0.8500000000,-0.7647097563,737792.4513888889,0.7940000000
0.6400000000,0.3820000000,0.0640000000,0.8600000000,-0.7646997405,737792.4548611111,0.8015000000
0.6389500000,0.3800000000,0.0800000000,0.8400000000,-0.7646897218,737792.4583333334,0.7865000000
0.6573500000,0.3800000000,0.1290000000,0.8500000000,-0.7646796999,737792.4618055555,0.7835000000
0.6719000000,0.3780000000,0.0800000000,0.8500000000,-0.7646696750,737792.4652777778,0.8495000000
0.7123500000,0.3800000000,0.0640000000,0.8500000000,-0.7646596470,737792.4687500000,0.8410000000
0.6917000000,0.3820000000,0.0480000000,0.8500000000,-0.7646496160,737792.4722222223,0.8210000000
0.6841500000,0.3780000000,0.0970000000,0.8400000000,-0.7646395819,737792.4756944445,0.7895000000
0.6440500000,0.3800000000,0.0640000000,0.8500000000,-0.7646295448,737792.4791666666,0.8505000000
0.6559500000,0.3820000000,0.0640000000,0.8400000000,-0.7646195046,737792.4826388889,0.8220000000
0.6952000000,0.3820000000,0.0970000000,0.8400000000,-0.7646094613,737792.4861111111,0.8045000000
0.6535000000,0.3840000000,0.0480000000,0.8400000000,-0.7645994150,737792.4895833334,0.8090000000
0.6408000000,0.3860000000,0.0970000000,0.8400000000,-0.7645893657,737792.4930555555,0.8080000000
0.6872000000,0.3860000000,0.1130000000,0.8400000000,-0.7645793133,737792.4965277778,0.8700000000
0.7328000000,0.3900000000,0.0970000000,0.8400000000,-0.7645692578,737792.5000000000,0.8900000000
0.7338500000,0.3960000000,0.0800000000,0.8300000000,-0.7645591993,737792.5034722223,0.8765000000
0.7424000000,0.3960000000,0.1290000000,0.8200000000,-0.7645491377,737792.5069444445,0.8795000000
0.7588000000,0.3920000000,0.1290000000,0.8100000000,-0.7645390730,737792.5104166666,0.8880000000
0.7500000000,0.3920000000,0.0970000000,0.8200000000,-0.7645290053,737792.5138888889,0.8700000000
0.7483500000,0.3980000000,0.0320000000,0.8200000000,-0.7645189346,737792.5173611111,0.7845000000
0.7639000000,0.4020000000,0.1450000000,0.8100000000,-0.7645088607,737792.5208333334,0.8250000000
0.7254500000,0.4000000000,0.0800000000,0.8100000000,-0.7644987839,737792.5243055555,0.8225000000
0.7763500000,0.4040000000,0.1450000000,0.8000000000,-0.7644887040,737792.5277777778,0.8645000000
0.7767500000,0.4040000000,0.1610000000,0.8000000000,-0.7644786210,737792.5312500000,0.8845000000
0.7698000000,0.4060000000,0.1610000000,0.7900000000,-0.7644685349,737792.5347222223,0.8725000000
0.7375000000,0.4100000000,0.1290000000,0.7800000000,-0.7644584458,737792.5381944445,0.8785000000
0.7876000000,0.4180000000,0.0640000000,0.7800000000,-0.7644483537,737792.5416666666,0.8355000000
0.7291500000,0.4240000000,0.1610000000,0.7600000000,-0.7644382585,737792.5451388889,0.8100000000
0.7633000000,0.4140000000,0.0970000000,0.7800000000,-0.7644281602,737792.5486111111,0.8085000000
0.7042000000,0.4160000000,0.1290000000,0.7800000000,-0.7644180589,737792.5520833334,0.8085000000
0.7179000000,0.4180000000,0.0800000000,0.7800000000,-0.7644079545,737792.5555555555,0.8465000000
0.6823000000,0.4200000000,0.1450000000,0.7700000000,-0.7643978471,737792.5590277778,0.8180000000
0.7091000000,0.4240000000,0.0320000000,0.7700000000,-0.7643877366,737792.5625000000,0.8270000000
0.6637000000,0.4240000000,0.1290000000,0.7600000000,-0.7643776231,737792.5659722223,0.8200000000
0.6522500000,0.4220000000,0.1450000000,0.7700000000,-0.7643675065,737792.5694444445,0.7760000000
0.6780000000,0.4200000000,0.1130000000,0.7600000000,-0.7643573868,737792.5729166666,0.7995000000
0.6361000000,0.4200000000,0.1290000000,0.7600000000,-0.7643472641,737792.5763888889,0.7940000000
0.6604500000,0.4160000000,0.1290000000,0.7600000000,-0.7643371384,737792.5798611111,0.8020000000
0.7093000000,0.4240000000,0.1130000000,0.7700000000,-0.7643270096,737792.5833333334,0.7990000000
0.6651500000,0.4240000000,0.0970000000,0.7600000000,-0.7643168777,737792.5868055555,0.7730000000
0.6490000000,0.4240000000,0.1290000000,0.7600000000,-0.7643067428,737792.5902777778,0.8020000000
0.6185000000,0.4260000000,0.0970000000,0.7600000000,-0.7642966048,737792.5937500000,0.7970000000
0.6657500000,0.4260000000,0.1290000000,0.7400000000,-0.7642864637,737792.5972222223,0.7975000000
0.6516500000,0.4240000000,0.1130000000,0.7500000000,-0.7642763196,737792.6006944445,0.8155000000
0.6430500000,0.4260000000,0.1290000000,0.7400000000,-0.7642661725,737792.6041666666,0.7975000000
0.6328500000,0.4260000000,0.0800000000,0.7500000000,-0.7642560223,737792.6076388889,0.7205000000
0.5886500000,0.4300000000,0.0480000000,0.7500000000,-0.7642458690,737792.6111111111,0.7575000000
0.6324000000,0.4240000000,0.0640000000,0.7400000000,-0.7642357127,737792.6145833334,0.7690000000
0.6209500000,0.4220000000,0.0970000000,0.7600000000,-0.7642255534,737792.6180555555,0.7690000000
